"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1598000917819052032","Wed Nov 30 17:08:02 +0000 2022","6","Semoga IKN Nusantar dapat segera terwujud dan kelak akan menjadi kebanggaan masyarakat Indonesia. https://t.co/4ZjcpD7L8i","1598000917819052032","https://pbs.twimg.com/media/Fi09XZhVQAIjNgw.jpg","","in","Cikarang, Indonesia","0","0","5","https://twitter.com/Fardenjael/status/1598000917819052032","461139122","Fardenjael"
"1597923145062567942","Wed Nov 30 11:59:00 +0000 2022","169","Pembangunan Ibu Kota Nusantara (IKN) tahap I ditargetkan rampung pada tahun 2024. https://t.co/asheQdP9Pf","1597923145062567942","https://pbs.twimg.com/media/Fiz2oc0UUAIdMhd.jpg","","in","","1","2","35","https://twitter.com/ikn_id/status/1597923145062567942","1455419498018656256","ikn_id"
"1597990505328975873","Wed Nov 30 16:26:40 +0000 2022","312","Kenapa harus diimingi apartemen? Jadi gunanya UU IKN diterbitkan buat apa? Pantas saja UU IKN mau direvisi kembali. Itu makanya jangan terburu2 semua harus direncanakan dgn matang. Rezim ini selalu gegabah seperti UU Cipta kerja yg kemudian MK memutuskan untuk diperbaiki! https://t.co/iidatYXzrW","1597990505328975873","https://pbs.twimg.com/media/Fi0z4rrUoAkXPM7.jpg","","in","Jakarta Capital Region, Indone","14","77","103","https://twitter.com/Hasbil_Lbs/status/1597990505328975873","931419055549906944","Hasbil_Lbs"
"1598022872701624320","Wed Nov 30 18:35:17 +0000 2022","78","Rezim OMNIBUS KELAKUAN Bahas UU tanpa DIM KEMUDIAN minta cepat selesai. HASILNYA kekurangan di sana-sini. Contoh JELAS &amp; NYATA --&gt; CACAT REGULASI ‼️UU CIPTA KERJA Setelah setahun berlaku inkonstitusional bersyarat oleh MK ‼️UU IKN Belum Setahun UU Sudah Direvisi https://t.co/B6fJsLQ0sB","1598022872701624320","https://pbs.twimg.com/media/Fi1RU9RUUAAuSKB.jpg","","in","Jakarta Capital Region","3","3","23","https://twitter.com/FPKSDPRRI/status/1598022872701624320","91255162","FPKSDPRRI"
"1597853377102508032","Wed Nov 30 07:21:46 +0000 2022","7","Fraksi PKS menolak usulan revisi UU IKN. Apalagi di tengah kondisi baru pulih dari pandemi dan adanya peluang menghadapi resesi tahun depan. Ini menunjukkan UU-nya cacat ada catatan tidak sempurna terburu-buru ~ Mardani Ali Sera Anggota Komisi II Fraksi PKS DPR RI https://t.co/HaThCpemKX","1597853377102508032","https://pbs.twimg.com/media/Fiy3KXcaUAUwCxS.jpg","","in","Bangkalan, Indonesia","0","0","1","https://twitter.com/PKS_Bangkalan/status/1597853377102508032","893603532628082688","PKS_Bangkalan"
"1597938852920164354","Wed Nov 30 13:01:25 +0000 2022","8","IKN Nusantara akan segera terwujud. #IKNnusantara #ibukotabaru https://t.co/zCJ3Qyt59R","1597938852920164354","https://pbs.twimg.com/media/Fi0E6xkUUAA3kFW.jpg","","in","","0","0","7","https://twitter.com/chyntia_rs/status/1597938852920164354","1044816872","chyntia_rs"
"1597865300103376897","Wed Nov 30 08:09:09 +0000 2022","25","IKN menyambut baik negara negara yang ingin berkerjasama membangun Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/sizNslbZfe","1597865300103376897","https://pbs.twimg.com/media/FizCA5dUYAIBx3T.jpg","","in","Kota Medan, Sumatera Utara","3","5","8","https://twitter.com/AuroraPutri12_/status/1597865300103376897","1510614963496587272","AuroraPutri12_"
"1597832999227097089","Wed Nov 30 06:00:47 +0000 2022","3","OBOR - BRI IKN HARGA MAT! https://t.co/wV63rr7uAF","1597832999227097089","https://pbs.twimg.com/media/FiykpCOVQAEmlxP.jpg","","in","","2","0","0","https://twitter.com/dvito007/status/1597832999227097089","1509810106300780545","dvito007"
"1597990586828455936","Wed Nov 30 16:26:59 +0000 2022","7","IKN Nusantara masa depan bangsa Indonesia yang maju dan sejahtera. #iknnusantara https://t.co/O9rdcqZBQQ","1597990586828455936","https://pbs.twimg.com/media/Fi0z-BpUoAETj5Y.jpg","","in","Curva North,GSJ","0","0","6","https://twitter.com/SingaManiaPasib/status/1597990586828455936","2275469208","SingaManiaPasib"
"1597865374208622596","Wed Nov 30 08:09:26 +0000 2022","3","Semoga kedepannya IKN akan menjadi pusat pemersatu untuk dunia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/7U6EbybRvj","1597865374208622596","https://pbs.twimg.com/media/FizCFaOaAAAASvL.jpg","","in","Nusa Tenggara Barat, Indonesia","3","1","0","https://twitter.com/sherly14246467/status/1597865374208622596","1582978639850717185","sherly14246467"
"1597998509353242624","Wed Nov 30 16:58:28 +0000 2022","37","Pertanyaan ini kita tujukan ke Pendukung WAN ABUD dan OPOSISI PLANGA PLONGO mengapa IKN / Ibukota Negara harus pindah ke Kalimantan? Kalau kalian bisa menjawab secara ilmiah dng argumen yg masuk logika tentu kalian memang orang2 cerdas dan pintar. https://t.co/5vvIrigQaM","1597998509353242624","https://pbs.twimg.com/media/Fi07LPPacAMSzyl.jpg","","in","Indonesia","1","5","12","https://twitter.com/DoankWarto/status/1597998509353242624","938664737369341952","DoankWarto"
"1597865399055396864","Wed Nov 30 08:09:32 +0000 2022","35","IKN Nusantara jadi smart city pertama di Indonesia dan jadi bukti kemajuan pembangunan infrastruktur di Indonesia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/7sV6LGvECe","1597865399055396864","https://pbs.twimg.com/media/FizCGm9VUAAwFIV.jpg","","in","Kota Medan, Sumatera Utara","3","1","6","https://twitter.com/AuroraPutri12_/status/1597865399055396864","1510614963496587272","AuroraPutri12_"
"1598099176134696960","Wed Nov 30 23:38:29 +0000 2022","2","Minat investor bangun IKN nusantara membeludak. Untuk pembangunan fasilitas pendidikan kesehatan dan perkantoran. #SemangatUntukPerkuatRI https://t.co/3oeTPvfqqu","1598099176134696960","https://pbs.twimg.com/media/Fi2WuxIacAIFclo.jpg","","in","","0","0","1","https://twitter.com/nvroost/status/1598099176134696960","1479239414857408513","nvroost"
"1597996123163340800","Wed Nov 30 16:48:59 +0000 2022","8","IKN kota modern berkonsep hutan. Kereeen... Kelak akan menjadi kebanggaan masyarakat Indonesia. #iknnusantara #IbukotaBaruMendunia https://t.co/9hZgjwx9zw","1597996123163340800","https://pbs.twimg.com/media/Fi05APUUUAAyFJS.jpg","","in","","0","0","6","https://twitter.com/zulfikarjava/status/1597996123163340800","1627414669","zulfikarjava"
